algorithm,metric,num_nodes,edge_density,num_sink,avg_path_sinks,avg_path_opt,in_strength_sinks,in_strength_opt,global_funnel_size
DE,success_rate,-0.3917,0.1691,-0.4845,-0.3387,-0.3947,0.299,0.8762,0.8336
DE,conv_time,-0.3537,0.0511,-0.2673,-0.3388,-0.2967,0.2986,0.1786,0.1309
