algorithm,metric,num_nodes,edge_density,num_sink,avg_path_sinks,avg_path_opt,in_strength_sinks,in_strength_opt,global_funnel_size
DE,success_rate,-0.3296,0.3072,-0.3692,-0.3701,-0.6797,0.286,0.8631,0.693
DE,conv_time,-0.0644,0.0713,-0.0218,-0.0447,-0.0436,0.0672,0.0935,0.0178
