algorithm,metric,num_nodes,edge_density,num_sink,avg_path_sinks,avg_path_opt,in_strength_sinks,in_strength_opt,global_funnel_size
DE,success_rate,-0.1801,0.2106,-0.2206,-0.2609,-0.2339,0.2527,0.7563,0.5872
DE,conv_time,0.4378,-0.4344,0.4815,0.4423,0.4768,-0.322,-0.4785,-0.4454
