algorithm,metric,num_nodes,edge_density,num_sink,avg_path_sinks,avg_path_opt,in_strength_sinks,in_strength_opt,global_funnel_size
CMA-ES,success_rate,-0.2768,0.2988,-0.3549,-0.3232,-0.3279,0.2929,0.7239,0.6516
CMA-ES,conv_time,0.664,-0.6275,0.4952,0.6105,0.6202,-0.4009,-0.2527,-0.2262
